MSFT,TSLA,FB,NVDA,JPM,JNJ,HD,UNH,BAC,PG,V,MA,ADBE,PFE,NFLX,DIS,CSCO,ORCL,CRM,KO,COST,TMO,ACN,ABT,PEP,CVX,DHR,LLY,PYPL,ABBV,CMCSA,INTC,NKE,VZ,QCOM,WFC,MCD,INTU,MRK,TXN,LIN,MS,AMD,NEE,T,LOW,C,HON,UNP,SCHW,MDT,PM,UPS,AMAT,BLK,GS,SBUX,AXP,FDX,BMY,CVS,IBM,AMT,AMGN,ISRG,PLD,MRNA,TGT,CAT,GM,LRCX,MMM,ADI,ADP,COP,F,LMT,MU,SYK,EL,GILD,MMC,MDLZ,PNC,XOM,BA,CME,CI,CCI,CSX,BDX,CL,FIS,ATVI,AON,USB,CB,FISV,COF,FCX
MSQ$0219100C,TSL$021910C,FB$0219100C,UVA$0219100C,JPM$0219100C,JNJ$0219100C,HD$0219100C,CH1$02191C,BAC$021916C,PCG$021914C,V$0219100C,MA$0219100C,AEQ$0219125C,PFE$021934C,NFL$0219130C,DIS$0219100C,CYQ$021925C,ORQ$021933C,CRM$0219100C,CE1$021927C,PRQ$0219100C,TMO$0219130C,ACN$0219100C,ABT$021940C,PEP$0219100C,CVX$0219100C,DH1$0219100C,LLY$0219100C,PYP$0219100C,ABB$0219100C,CCQ$021920C,INQ$021925C,NKE$0219100C,VZ$021940C,QAQ$021935C,WFC$021935C,MCD$0219100C,IQU$0219145C,MRK$0219100C,TXN$0219100C,PX$0219110C,MS$021925C,AMD$021910C,FPL$0219130C,T$021920.0C,LOW$0219100C,C$021925.0C,HN1$0121105C,UNP$0219100C,SHQ$021931C,MD1$0219100C,PM$0219100C,UPS$0219100C,ANQ$021928C,BLK$0219250C,GS$0219100C,SQX$021950C,AXP$0219100C,FDX$0219100C,BMY$021935C,CVS$0219100C,IBM$0219100C,AMT$0219115C,AMQ$0219120C,AXQ$0219305C,PLD$021935C,MOD$1021100C,TGT$0219100C,CAT$0121177.5C,GMU$021927C,LMQ$0219100C,MMM$0219100C,ADI$0219100C,AD1$0219100C,COP$0219100C,F$02191.00C,LMT$0219135C,MU$021922C,SDQ$0219110C,EL$0219100C,GDQ$0219100C,MMC$0219100C,KFT$021933C,PNC$0219104C,XOM$0219100C,BA$0219150C,CME$0219135C,CI$0219270C,CCI$0219145C,CSX$021935C,BDX$0219150C,CL$0219100C,FIS$0219100C,AQV$0219100C,AOC$0219100C,USB$021935C,ACE$0219100C,FQV$0219100C,COF$0219100C,FCX$021910C
MSQ$0219101C,TSL$0219100C,FB$0219105C,UVA$0219105C,JPM$0219101C,JNJ$0219105C,HD$0219105C,CH1$02192C,BAC$021917C,PCG$021915C,V$0219105C,MA$0219105C,AEQ$0219130C,PFE$021935C,NFL$0219135C,DIS$0219101C,CYQ$021926C,ORQ$021934C,CRM$0219105C,CE1$021928C,PRQ$0219105C,TMO$0219135C,ACN$0219105C,ABT$021945C,PEP$0219101C,CVX$0219101C,DH1$0219105C,LLY$0219101C,PYP$0219101C,ABB$0219105C,CCQ$021925C,INQ$021926C,NKE$021940C,VZ$021945C,QAQ$021936C,WFC$021938C,MCD$0219105C,IQU$0219170C,MRK$0219105C,TXN$0219101C,PX$0219115C,MS$021926C,AMD$021911C,FPL$0219135C,T$021921.0C,LOW$0219101C,C$021927.5C,HN1$0121125C,UNP$0219105C,SHQ$021932C,MD1$0219101C,PM$021950C,UPS$0219101C,ANQ$021930C,BLK$0219260C,GS$0219105C,SQX$021954C,AXP$0219101C,FDX$0219105C,BMY$021936C,CVS$0219105C,IBM$0219105C,AMT$0219120C,AMQ$0219125C,AXQ$0219310C,PLD$021940C,MOD$1021105C,TGT$021935C,CAT$0121182.5C,GMU$021928C,LMQ$0219105C,MMM$0219105C,ADI$0219101C,AD1$0219105C,COP$0219105C,F$021910.0C,LMT$0219140C,MU$021923C,SDQ$0219115C,EL$0219105C,GDQ$0219105C,MMC$0219105C,KFT$021934C,PNC$0219106C,XOM$0219105C,BA$0219155C,CME$0219140C,CI$0121120C,CCI$0121135C,CSX$021937.5C,BDX$0219180C,CL$021935C,FIS$0219105C,AQV$0219105C,AOC$0219105C,USB$021939C,ACE$0219105C,FQV$0219105C,COF$0219105C,FCX$021911C
MSQ$0219102C,TSL$0219105C,FB$0219110C,UVA$0219106C,JPM$0219102C,JNJ$0219110C,HD$0219110C,CH1$02193C,BAC$021918C,PCG$021916C,V$0219110C,MA$0219110C,AEQ$0219135C,PFE$021936C,NFL$0219140C,DIS$0219102C,CYQ$021927C,ORQ$021935C,CRM$0219110C,CE1$021929C,PRQ$0219110C,TMO$0219140C,ACN$0219110C,ABT$021950C,PEP$0219102C,CVX$0219102C,DH1$0219110C,LLY$0219102C,PYP$0219102C,ABB$0219110C,CCQ$021927C,INQ$021927C,NKE$021945C,VZ$021946C,QAQ$021937C,WFC$021939C,MCD$0219110C,IQU$0219185C,MRK$0219110C,TXN$0219102C,PX$0219120C,MS$021927C,AMD$021912C,FPL$0219140C,T$021922.0C,LOW$0219102C,C$021930.0C,HN1$0121195C,UNP$0219110C,SHQ$021933C,MD1$0219102C,PM$021955C,UPS$0219102C,ANQ$021935C,BLK$0219270C,GS$0219110C,SQX$021955C,AXP$0219102C,FDX$0219110C,BMY$021937C,CVS$021935C,IBM$0219110C,AMT$0219125C,AMQ$0219130C,AXQ$0219315C,PLD$021945C,MOD$1021110C,TGT$021940C,CAT$0121187.5C,GMU$021929C,LMQ$0219110C,MMM$0219110C,ADI$0219102C,AD1$0219110C,COP$0219110C,F$021910.5C,LMT$0219145C,MU$021924C,SDQ$0219120C,EL$0219110C,GDQ$0219110C,MMC$0219110C,KFT$021935C,PNC$0219109C,XOM$0219110C,BA$0219160C,CME$0219145C,CI$0121200C,CCI$0121150C,CSX$021940C,BDX$0219185C,CL$021940C,FIS$0219110C,AQV$0219110C,AOC$0219110C,USB$021940C,ACE$0219110C,FQV$0219110C,COF$0219110C,FCX$021912C
MSQ$0219103C,TSL$0219110C,FB$0219115C,UVA$0219107C,JPM$0219103C,JNJ$0219113C,HD$0219115C,CH1$02194C,BAC$021919C,PCG$021919C,V$0219115C,MA$0219115C,AEQ$0219140C,PFE$021937C,NFL$0219145C,DIS$0219103C,CYQ$021928C,ORQ$021936C,CRM$0219115C,CE1$021930C,PRQ$0219115C,TMO$0219145C,ACN$0219115C,ABT$021955C,PEP$0219103C,CVX$0219103C,DH1$0219115C,LLY$0219103C,PYP$0219103C,ABB$0219115C,CCQ$021928C,INQ$021928C,NKE$021950C,VZ$021947C,QAQ$021938C,WFC$021940C,MCD$0219115C,IQU$0219230C,MRK$021955C,TXN$0219103C,PX$0219125C,MS$021928C,AMD$021913C,FPL$0219145C,T$021923.0C,LOW$0219103C,C$021932.5C,HN1$0319125C,UNP$0219115C,SHQ$021936C,MD1$0219105C,PM$021960C,UPS$0219103C,ANQ$021938C,BLK$0219280C,GS$0219115C,SQX$021956C,AXP$0219103C,FDX$0219115C,BMY$021938C,CVS$021940C,IBM$0219111C,AMT$0219130C,AMQ$0219135C,AXQ$0219320C,PLD$021950C,MOD$1021115C,TGT$021945C,CAT$0219100C,GMU$021930C,LMQ$0219115C,MMM$0219115C,ADI$0219103C,AD1$0219115C,COP$021935C,F$021911.0C,LMT$0219150C,MU$021925C,SDQ$0219125C,EL$0219115C,GDQ$0219115C,MMC$0219115C,KFT$021936C,PNC$0219110C,XOM$0219115C,BA$0219165C,CME$0219150C,CI$0121205C,CCI$012155C,CSX$021942.5C,BDX$0219190C,CL$021945C,FIS$0219115C,AQV$0219115C,AOC$0219115C,USB$021941C,ACE$0219115C,FQV$021940C,COF$021960C,FCX$021913C
MSQ$0219104C,TSL$0219115C,FB$0219120C,UVA$0219108C,JPM$0219104C,JNJ$0219114C,HD$0219120C,CH1$02195C,BAC$021920C,PCG$021920C,V$0219116C,MA$0219120C,AEQ$0219145C,PFE$021938C,NFL$0219150C,DIS$0219104C,CYQ$021929C,ORQ$021937C,CRM$0219120C,CE1$021931C,PRQ$0219120C,TMO$0219150C,ACN$0219120C,ABT$021960C,PEP$0219104C,CVX$0219104C,DH1$0219120C,LLY$0219104C,PYP$0219104C,ABB$0219120C,CCQ$021929C,INQ$021929C,NKE$021955C,VZ$021948C,QAQ$021939C,WFC$021941C,MCD$0219120C,IQU$0219270C,MRK$021960C,TXN$0219104C,PX$0219130C,MS$021929C,AMD$021914C,FPL$0219150C,T$021924.0C,LOW$0219104C,C$021935.0C,HN1$0319155C,UNP$0219120C,SHQ$021938C,MD1$0219110C,PM$021962C,UPS$0219104C,ANQ$021939C,BLK$0219290C,GS$0219120C,SQX$021957C,AXP$0219104C,FDX$0219120C,BMY$021939C,CVS$021945C,IBM$0219112C,AMT$0219135C,AMQ$0219140C,AXQ$0219325C,PLD$021955C,MOD$1021120C,TGT$021950C,CAT$0219105C,GMU$021931C,LMQ$0219120C,MMM$0219120C,ADI$0219104C,AD1$0219120C,COP$021940C,F$021911.5C,LMT$0219155C,MU$021926C,SDQ$0219130C,EL$0219120C,GDQ$021940C,MMC$0219120C,KFT$021937C,PNC$0219112C,XOM$021940C,BA$0219170C,CME$0219155C,CI$0121245C,CCI$012165C,CSX$021945C,BDX$0219195C,CL$021950C,FIS$0219120C,AQV$021925C,AOC$0219120C,USB$021942C,ACE$0219120C,FQV$021945C,COF$021965C,FCX$021914C
MSQ$0219105C,TSL$0219120C,FB$0219121C,UVA$0219109C,JPM$0219105C,JNJ$0219115C,HD$0219125C,CH1$02196C,BAC$021921C,PCG$021923C,V$0219117C,MA$0219125C,AEQ$0219150C,PFE$021939C,NFL$0219155C,DIS$0219105C,CYQ$021930C,ORQ$021938C,CRM$0219125C,CE1$021932C,PRQ$0219125C,TMO$0219155C,ACN$0219125C,ABT$021961C,PEP$0219105C,CVX$0219105C,DH1$0219125C,LLY$0219105C,PYP$0219105C,ABB$0219125C,CCQ$021930C,INQ$021932C,NKE$021960C,VZ$021949C,QAQ$021940C,WFC$021942C,MCD$0219125C,IQU$0121100C,MRK$021964C,TXN$0219105C,PX$0219135C,MS$021930C,AMD$021915C,FPL$0219155C,T$021924.5C,LOW$0219105C,C$021937.5C,HN1$031995C,UNP$0219125C,SHQ$021939C,MD1$0219115C,PM$021963C,UPS$0219105C,ANQ$021943C,BLK$0219300C,GS$0219125C,SQX$021958C,AXP$0219105C,FDX$0219125C,BMY$021940C,CVS$021950C,IBM$0219113C,AMT$0219140C,AMQ$0219145C,AXQ$0219330C,PLD$021960C,MOD$1021125C,TGT$021955C,CAT$0219109C,GMU$021932C,LMQ$0219125C,MMM$0219125C,ADI$0219105C,AD1$0219121C,COP$021945C,F$021912.0C,LMT$0219160C,MU$021927C,SDQ$0219135C,EL$0219125C,GDQ$021945C,MMC$021950C,KFT$021938C,PNC$0219114C,XOM$021945C,BA$0219175C,CME$0219160C,CI$0121300C,CCI$012180C,CSX$021947.5C,BDX$0219205C,CL$021952C,FIS$0219125C,AQV$021930C,AOC$0219125C,USB$021943C,ACE$0219125C,FQV$021950C,COF$021967C,FCX$021915C
MSQ$0219106C,TSL$0219125C,FB$0219122C,UVA$0219110C,JPM$0219106C,JNJ$0219116C,HD$0219130C,CH1$02197C,BAC$021922C,PCG$021925C,V$0219118C,MA$0219130C,AEQ$0219155C,PFE$021940C,NFL$0219160C,DIS$0219106C,CYQ$021931C,ORQ$021939C,CRM$0219126C,CE1$021933C,PRQ$0219130C,TMO$0219160C,ACN$0219130C,ABT$021962C,PEP$0219106C,CVX$0219106C,DH1$0219130C,LLY$0219106C,PYP$0219106C,ABB$0219130C,CCQ$021931C,INQ$021933C,NKE$021965C,VZ$021950C,QAQ$021941C,WFC$021943C,MCD$0219130C,IQU$0121105C,MRK$021965C,TXN$0219106C,PX$0219140C,MS$021931C,AMD$021916C,FPL$0219160C,T$021925.0C,LOW$0219106C,C$021940.0C,HN1$0120200C,UNP$0219130C,SHQ$021941C,MD1$0219120C,PM$021964C,UPS$0219106C,ANQ$021945C,BLK$0219310C,GS$0219130C,SQX$021959C,AXP$0219106C,FDX$0219130C,BMY$021941C,CVS$021955C,IBM$0219114C,AMT$0219145C,AMQ$0219150C,AXQ$0219335C,PLD$021965C,MOD$1021130C,TGT$021959C,CAT$0219110C,GMU$021933C,LMQ$0219130C,MMM$0219130C,ADI$0219106C,AD1$0219122C,COP$021950C,F$021912.5C,LMT$0219165C,MU$021928C,SDQ$0219140C,EL$0219130C,GDQ$021950C,MMC$021955C,KFT$021939C,PNC$0219115C,XOM$021950C,BA$0219180C,CME$0219165C,CI$012180C,CCI$0319105C,CSX$021950C,BDX$0219225C,CL$021953C,FIS$0219130C,AQV$021933C,AOC$0219130C,USB$021944C,ACE$0219130C,FQV$021955C,COF$021968C,FCX$021919C
MSQ$0219107C,TSL$0219130C,FB$0219123C,UVA$0219111C,JPM$0219107C,JNJ$0219117C,HD$0219135C,CH1$02198C,BAC$021923C,PCG$021926C,V$0219119C,MA$0219135C,AEQ$0219160C,PFE$021941C,NFL$0219165C,DIS$0219107C,CYQ$021932C,ORQ$021940C,CRM$0219127C,CE1$021934C,PRQ$0219135C,TMO$0219165C,ACN$0219132C,ABT$021963C,PEP$0219107C,CVX$0219107C,DH1$0219135C,LLY$0219107C,PYP$0219107C,ABB$0219135C,CCQ$021932C,INQ$021935C,NKE$021967C,VZ$021951C,QAQ$021942C,WFC$021944C,MCD$0219135C,IQU$0121160C,MRK$021965.5C,TXN$0219107C,PX$0219145C,MS$021932C,AMD$021917C,FPL$0219165C,T$021925.5C,LOW$0219107C,C$021942.5C,HN1$012075C,UNP$0219135C,SHQ$021942C,MD1$021945C,PM$021965C,UPS$0219107C,ANQ$021947C,BLK$0219320C,GS$0219135C,SQX$021960C,AXP$0219107C,FDX$0219135C,BMY$021942C,CVS$021956C,IBM$0219115C,AMT$0219146C,AMQ$0219155C,AXQ$0219340C,PLD$021970C,MOD$1021135C,TGT$021960C,CAT$0219111C,GMU$021934C,LMQ$0219133C,MMM$0219135C,ADI$0219107C,AD1$0219123C,COP$021955C,F$021913.0C,LMT$0219170C,MU$021929C,SDQ$0219145C,EL$0219135C,GDQ$021955C,MMC$021960C,KFT$021940C,PNC$0219117C,XOM$021955C,BA$0219185C,CME$0219170C,CI$012195C,CCI$0319110C,CSX$021952.5C,BDX$0219230C,CL$021954C,FIS$0219135C,AQV$021934C,AOC$0219135C,USB$021945C,ACE$0219135C,FQV$021960C,COF$021969C,FCX$021920C
MSQ$0219108C,TSL$0219135C,FB$0219124C,UVA$0219112C,JPM$0219108C,JNJ$0219118C,HD$0219140C,CH1$03191C,BAC$021924C,PCG$021927C,V$0219120C,MA$0219140C,AEQ$0219165C,PFE$021942C,NFL$0219170C,DIS$0219108C,CYQ$021933C,ORQ$021941C,CRM$0219128C,CE1$021935C,PRQ$0219140C,TMO$0219170C,ACN$0219133C,ABT$021964C,PEP$0219108C,CVX$0219108C,DH1$021970C,LLY$0219108C,PYP$0219110C,ABB$0219140C,CCQ$021933C,INQ$021936C,NKE$021968C,VZ$021952C,QAQ$021943C,WFC$021945C,MCD$0219140C,IQU$0121195C,MRK$021966C,TXN$0219108C,PX$0219150C,MS$021933C,AMD$021918C,FPL$0219170C,T$021926.0C,LOW$0219108C,C$021945.0C,HN1$0119145C,UNP$0219136C,SHQ$021945C,MD1$021950C,PM$021966C,UPS$0219108C,ANQ$021948C,BLK$0219330C,GS$0219140C,SQX$021961C,AXP$0219108C,FDX$0219140C,BMY$021943C,CVS$021957C,IBM$0219116C,AMT$0219147C,AMQ$0219160C,AXQ$0219345C,PLD$021975C,MOD$1021140C,TGT$021961C,CAT$0219112C,GMU$021935C,LMQ$0219134C,MMM$0219140C,ADI$0219108C,AD1$0219124C,COP$021956C,F$021913.5C,LMT$0219175C,MU$021930C,SDQ$0219150C,EL$0219140C,GDQ$021956C,MMC$021965C,KFT$021941C,PNC$0219125C,XOM$021960C,BA$0219190C,CME$0219175C,CI$0319160C,CCI$031990C,CSX$021955C,BDX$0219235C,CL$021955C,FIS$0219140C,AQV$021935C,AOC$0219140C,USB$021946C,ACE$0219140C,FQV$021965C,COF$021970C,FCX$021921C
MSQ$0219109C,TSL$0219140C,FB$0219125C,UVA$0219113C,JPM$0219109C,JNJ$0219119C,HD$0219145C,CH1$03192C,BAC$021925C,PCG$021928C,V$0219121C,MA$0219145C,AEQ$0219170C,PFE$021943C,NFL$0219175C,DIS$0219109C,CYQ$021934C,ORQ$021942C,CRM$0219129C,CE1$021936C,PRQ$0219145C,TMO$0219175C,ACN$0219134C,ABT$021965C,PEP$0219109C,CVX$0219109C,DH1$021975C,LLY$0219109C,PYP$0219115C,ABB$0219145C,CCQ$021934C,INQ$021938C,NKE$021969C,VZ$021953C,QAQ$021944C,WFC$021946C,MCD$0219145C,IQU$0121200C,MRK$021966.5C,TXN$0219109C,PX$0219155C,MS$021934C,AMD$021919C,FPL$0219175C,T$021926.5C,LOW$0219109C,C$021947.5C,HN1$0119150C,UNP$0219137C,SHQ$021946C,MD1$021955C,PM$021967C,UPS$0219109C,ANQ$0121120C,BLK$0219335C,GS$0219145C,SQX$021962C,AXP$0219109C,FDX$0219145C,BMY$021944C,CVS$021958C,IBM$0219117C,AMT$0219148C,AMQ$0219165C,AXQ$0219350C,PLD$021980C,MOD$1021145C,TGT$021962C,CAT$0219113C,GMU$021936C,LMQ$0219135C,MMM$0219145C,ADI$0219109C,AD1$0219125C,COP$021957C,F$021914.0C,LMT$0219180C,MU$021931C,SDQ$0219155C,EL$0219145C,GDQ$021957C,MMC$021970C,KFT$021942C,PNC$0219126C,XOM$021961C,BA$0219195C,CME$0219180C,CI$0319180C,CCI$0520100C,CSX$021956C,BDX$0219240C,CL$021956C,FIS$0219145C,AQV$021936C,AOC$0219145C,USB$021947C,ACE$0219145C,FQV$021970C,COF$021971C,FCX$021922C
