;Date;MSFT;TSLA;FB;NVDA;JPM;JNJ;UNH;PG;BAC;V;MA;XOM;PFE;KO;DIS;CVX;ADBE;CSCO;PEP;ABBV;TMO;CMCSA;LLY;ABT;ORCL;WFC;INTC;NFLX;VZ;CAN;COST;CRM;MRK;DHR;PYPL;T;MCD;NKE;QCOM;MS;LIN;NEE;TXN;SCHW;C;PM;LOW;UNP;AMD;HON;INTU;UPS;CVS;MDT;BMY;IBM;AMGN;GS;SBUX;AXP;AMAT;BLK;BA;COP;PLD;AMT;CAT;TGT;MMM;LMT;MDLZ;ISRG;SYK;ADP;F;GM;LRCX;MU;GILD;PNC;USB;ADI;CB;CME;CI;CCI;MMC;CL;CSX;EL;MRNA;BDX;FISV;ATVI;FDX;FIS;AON;COF;FCX;EBAY
0;2019-01-16;5,22834E-05;0;;7,78314E-13;0,001995795;-0,017856508;;;-0,05418324;0,008560703;-0,012347983;0,04697308;0,010273087;;0;0,004971539;-0,014574223;-0,063124808;0,008711341;0,071847026;;0,097969143;-0,032960378;;0,001641851;0,014273176;0,029055601;0,005715945;0,100436849;;;0,00394966;0,001092179;-0,010203989;0,015120745;;0;-0,014812059;0,055916431;0,019750882;0;;-0,026255167;0;;-0,23304794;-0,027509458;0,001469261;0,002956256;0;0,052078865;0,017874721;;-0,001302527;0,010565048;0,067913346;0,005319051;0,016347111;0,041784324;-0,027827569;0;0,008953991;0,04700878;0,00463597;0;0,330275033;0,006518884;-0,00281388;0,031535613;-0,047827616;0;3,79379E-14;;0,000559778;;0,033169704;;-0,026884723;-0,147820551;-0,368146345;0;0,001007035;0,004936157;0,062266904;;0,041002672;-0,29606916;0;0;;;0,05832083;-0,008715709;0,008031529;0,057056046;0,010229976;0;;0,059967945;-0,048295686
1;2019-01-17;0,015108444;-2,88911E-12;;1,01404E-12;0,006671298;-0,051081826;;;0,04461689;0,002302191;0,153888149;-0,060872823;-0,020570215;;-0,163593194;-0,169020968;-0,008835357;-0,08477781;0,010199617;0,124362358;;0,035260179;-0,002952971;;0,04887501;0,007026774;0,019653427;0,029605995;0,057785638;;;0,042271909;0,007387261;0,020950159;0,011825579;;-0,020530074;0,014470387;0,034772416;0,020425414;0,005255271;;-0,013185692;0,299090614;;0,05385718;-0,032526675;0,027362442;0,014094985;-0,195076155;0,001688728;-0,039012869;;0,000197281;-0,002576025;-0,091337755;-0,000491236;0,013993955;-0,049934496;4,29322E-05;;0,015786506;0,025420661;0,003890478;0,092946223;-0,139694614;0,001263152;-0,013930122;0,025086253;0,01044667;0,125278743;2,78791E-13;;-0,006255974;;0,025005713;;0,045641709;0,143801601;0,097509339;0,131885168;-0,002604739;0,190468856;0,032418615;;0,014382393;0,032913839;0,003608582;0;;;0,035138178;-0,003357274;0,012327608;-0,003938769;0,005604317;0;;0,232726251;0,091405071
2;2019-01-18;-0,023135228;-1,2427E-12;;6,57062E-13;0,007199496;0,030488364;;;-0,052251836;-0,219417935;-0,030400945;0,012179699;-0,328390174;;0,107022884;-0,08712484;-0,226433043;-0,125513606;0,00488132;0,088250618;;0,044000752;-0,016416025;;-0,007296504;0,006284481;0,01435903;0,050077026;0,114160446;;;-0,000646175;0,005810591;0,012202816;0,007490928;;0,007738241;0,021293638;0,035619616;0,024564883;-0,008582397;;-0,002258802;0,178545048;;0,018599272;-0,01841839;0,018609956;0,010946071;-0,123777755;0,000756785;-0,006408281;;0,000467271;0,009513985;-0,037029592;0,001429376;0,006908507;-0,033060026;-0,026568314;;0,018662559;-0,012523133;-0,05820078;0,069042037;-0,103418413;-0,009543048;-0,029512125;0,03169034;0,080797831;0,046121611;2,29125E-13;;0,232028331;;0,151232136;;0,039963041;0,08944108;0,061525439;0,180181581;-0,013569988;0,17701125;0,006620304;;0,011297432;0,125130609;0,014393767;0;;;-0,014787157;-0,16859244;-0,092538747;0,003876676;0,003237771;0,253416359;;0,123955402;0,040153657
3;2019-01-19;-0,003733239;-8,05248E-13;;6,70504E-13;0,006135106;-0,006363918;;;0,037975899;0,122813447;-0,038067695;0,038781804;0,089426395;;0,020897194;0,152461929;-0,066578601;-0,141713904;0,062231233;-0,034135534;;0,053975435;-0,024995829;;0,107455861;0,143220439;0,005375722;0,079194384;0,059315988;;;-0,131884103;-0,143779357;-0,173416225;-0,142120817;;-0,002484959;0,011429251;0,041088275;0,026064096;-0,00357072;;-0,005050734;0,081526039;;-0,020392677;0,005772789;0,074001206;0,012526768;0,214698865;-0,340446366;-0,05560527;;-0,000322774;0,01697995;0,05440814;-0,189570522;0,060122051;-0,033781536;-0,002918348;;0,017928087;-0,014785538;0,153607402;0,057248652;-0,053156179;0,187532675;-0,035717917;-0,14553858;-0,081986915;0,018325098;1,34424E-13;;0,160240985;;0,262783744;;0,02185094;0,09075513;0,032613204;0,0872076;-0,00315921;-0,400751171;-0,02002224;;0,018176694;0,052130637;0,015790324;0;;;-0,002613672;0,018250827;-0,067505665;-0,000390061;0,00345054;-0,491891217;;0,085347223;0,029988559
4;2019-01-20;0,05830584;-6,57478E-13;;1,18711E-12;-0,201094416;-0,003412046;;;-0,012938693;-0,099950724;-0,013354016;0,053364443;0,112523072;;0,031332156;0,025442973;-0,031354425;-0,072340336;0,012412908;0,001844357;;0,04761025;-0,027574983;;0,027897706;0,068162757;0,254487709;0,019726939;0,054372202;;;-0,144238085;0,114895649;-0,068158932;-0,170125446;;-0,002781152;0,013798267;0,080315929;0,038943037;0,000447696;;-0,010665904;0,092078233;;0,345150504;0,005436705;-0,004519104;0,014089036;0,123172877;-0,01965348;-0,012124667;;0;0,021302718;-0,036350195;0,006821109;0,086456483;-0,023774072;-0,008914506;;-0,400208424;0,001711617;0,130135898;0,057551433;-0,057310461;0,073467461;-0,030211438;0,359213314;0,06985613;0,006900748;1,43626E-13;;0,193007957;;0,372310029;;0,019575804;0,081847703;0,038945907;0,043990839;-0,003154136;-0,292402232;-0,025085859;;-0,18073574;0,017928431;0,042347401;-3,57872E-11;;;0,006513821;0,023896337;0,11856396;0,016409052;0,004932103;-0,189757874;;-0,128575094;0,029710756
5;2019-01-21;0,002607296;-8,6395E-13;;1,20428E-12;-0,119888041;0,051269168;;;-0,003554465;0,1484512;-0,018054146;0,052177868;0,176412782;;0,025331158;0,020592951;-0,010891581;-0,020352031;0,023330047;0,034996282;;-0,571662331;-0,031664281;;-0,003671238;-0,113849565;0,39484696;-0,007848577;0,065010201;;;0,040687823;0,009026516;-0,285836882;-0,137718062;;-0,003057857;0,006103839;-0,400030498;-0,227214906;0,005965716;;-0,002186572;0,067415988;;0,564304924;-0,03321875;0,020641218;0,013182317;0,073328879;0,008670883;-0,042473887;;;-0,003094027;0,064642692;-0,041174658;0,052698428;0,243016444;-0,025566145;;-0,425129723;0,00226357;0,116910883;-0,46714984;-0,10183522;-0,06058472;-0,035055414;0,198804114;-0,020402845;0,015548467;1,24605E-13;;-0,074032563;;0,52434741;;0,023785072;-0,423114478;0,046975749;0,026747621;0,008613307;-0,365681782;-0,031651998;;0,086359057;-0,000316275;0,031805844;-2,10636E-11;;;-0,006191116;0,00050527;-0,027684663;0,020383825;0,259953286;-0,09396331;;-0,134788571;-0,444170415
6;2019-01-22;0,005003684;-9,61197E-13;;1,11204E-12;-0,064468595;-0,047119551;;;0,063164803;0,11472792;-0,016286062;0,065597533;-0,036640017;;0,028808673;0,029062127;-0,163950522;0,012487572;0,007802661;0,047957387;;-0,517769789;0,203817067;;-0,00762572;-0,096531986;0,186833984;-0,016925453;-0,066363026;;;0,028644982;0,116497632;-0,048560089;0,212559241;;-0,003409229;0,395300102;-0,517803901;-0,15617369;0,008118168;;-0,001639704;0,0782379;;-0,082606722;-0,021013719;0,029453;0,024108722;0,037780082;0,028390975;-0,019957041;;;0,026006047;-0,030147322;-0,034160702;0,073259637;0,1132684;-0,017418906;;-0,427032253;0,008639337;-0,003667714;0,107932404;-0,066605828;-0,034158649;-0,027364236;0,163735617;-0,007151471;0,018491845;1,40678E-13;;0,061586473;;0,287582621;;-0,209149265;-0,262653285;-0,606736393;0,026788407;-0,133797091;0,1238139;-0,019178419;;0,114446448;0,000532033;0,033648198;-1,31417E-11;;;-0,006970205;0,020731277;-0,172007661;0,010896576;0,000161275;-0,139750041;;-0,064480026;-0,301001689
7;2019-01-23;0,002790894;-1,09965E-12;;2,8514E-12;0,10297263;0,048752547;;;0,047185343;0,112128242;0,1581386;0,076333617;0,04541246;;0,020954002;0,065939393;0,040754301;0,044468931;0,011819797;0,042039773;;0,056368439;0,122849509;;-0,005473146;0,228828182;0,135698659;-0,026844088;-0,077605612;;;-0,017610988;0,040509249;-0,234537448;0,077833114;;-0,030080441;0,228855457;-0,44195159;0,392654175;0,019783216;;-0,008164609;0,073409248;;0,214412328;0,021154557;0,030391233;0,022156121;0,062368804;0,057289703;-0,003554597;;;0,021444952;-0,077886709;-0,044067956;0,072298257;0,13078034;-0,027073184;;-0,256449858;0,00027591;0,008939776;0,074950005;-0,099512968;-0,031669862;-0,029209193;0,243966471;-0,005697404;-0,001492597;1,61625E-13;;0,081753167;;0,04453984;;-0,139119256;-0,200750832;-0,403335384;0,021270354;-0,116534255;0,105359088;-0,040735657;;0,098968104;0,017650367;0,032034773;-1,34981E-11;;;-0,002971606;0,007347777;0,102978962;0,013556063;-0,057544514;-0,096538262;;-0,067313886;-0,261159276
8;2019-01-24;-0,00342493;-1,2765E-12;;9,84898E-13;-0,112467;0,046306443;;;-0,007707945;-0,129463155;-0,001762547;0,075542056;0,181601739;;0,012372714;0,077674873;0,079334806;0,03027634;0,027350309;-0,018516282;;-0,429425459;-0,446025623;;-0,026558803;0,242826823;0,088052955;-0,03027435;-0,04023087;;;0,008186136;0,035288841;-0,015203389;-0,066611096;;-0,050990913;0,046080415;0,20763194;0,210449076;-0,623727487;;-0,008372722;0,088933142;;0,274080031;0,010042589;0,000345271;0,003401334;0,043146582;0,037345208;-0,010041072;;;0,021443867;0,006443182;-0,0510338;-0,009701847;0,110155517;-0,018464341;;0,414095661;0,013936066;0,039168345;0,063892407;-0,088672212;-0,043148984;-0,026623881;-1,06505E-06;0,067199714;-0,01665329;2,06955E-13;;0,078199012;;0,104810441;;-0,091438001;-0,164023137;0,209086261;0,030017592;0,025014387;0,14947038;-0,058010657;;0,133620859;0,011070365;-0,036993102;-1,05948E-11;;;-0,004423317;0,006171106;0,053940452;0,00719678;-0,002727331;-0,110763304;;-0,036308159;-0,1541253
9;2019-01-25;-0,103615347;-1,24117E-12;;7,30963E-13;-0,077014355;0,017704211;;;0,056641648;-0,080907621;-0,027871366;0,089861705;-0,249322429;;-0,503674843;-0,1368401;0,092426164;0,140562669;-0,215647297;0,019669009;;-0,237158615;-0,498980081;;-0,035571215;0,24725834;0,052476374;-0,025318195;-0,04164182;;;-0,122014848;0,034731475;0,063098568;-0,096223396;;-0,059434807;0,048282071;0,269354583;0,297558974;-0,417457603;;-0,013540877;0,087474973;;0,753746069;0,019440922;0,020700643;0,000504614;0,046804171;0,07269977;-0,016358952;;;0,032732201;0,026079938;-0,00222608;0,125347385;-0,003800319;-0,029393991;;0,269986483;0,0008494;0,047634896;0,051352395;-0,069761662;0,145146318;-0,029207947;-0,039162444;0,004677527;-0,004503596;2,16763E-13;;0,021620223;;0,050540939;;0,158068787;-0,081780696;0,379027481;-0,87054712;-0,14492009;0,126769794;-0,066880667;;0,341016139;0,018545736;0,205971279;-9,59498E-12;;;0,006188546;-0,019645145;0,101842643;0,024205703;-0,019668627;-0,103946612;;-0,030248462;-0,092946695
