#NAME?,15/12/2018,,#NAME?,15/01/2019,,#NAME?,15/02/2019,,#NAME?,15/03/2019,,#NAME?,15/04/2019,,#NAME?,15/05/2019,,#NAME?,15/06/2019,,#NAME?,15/07/2019,,#NAME?,15/08/2019,,#NAME?,15/09/2019,,#NAME?,15/10/2019,,#NAME?,15/11/2019,,#NAME?,15/12/2019,,#NAME?,15/01/2020,,#NAME?,15/02/2020,,#NAME?,15/03/2020,,#NAME?,15/04/2020,,#NAME?,15/05/2020,,#NAME?,15/06/2020,,#NAME?,15/07/2020,,#NAME?,15/08/2020,,#NAME?,15/09/2020,,#NAME?,15/10/2020,,#NAME?,15/11/2020,,#NAME?,15/12/2020,,#NAME?,15/01/2021,,#NAME?,17/02/2021,,#NAME?,15/03/2021,,#NAME?,15/04/2021,,#NAME?,15/05/2021,,#NAME?,15/06/2021,,#NAME?,15/07/2021,,#NAME?,15/08/2021,,#NAME?,15/09/2021,,#NAME?,15/10/2021,,#NAME?,15/11/2021,
Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE
MSQ$0119100C,0.325,9.7,MSQ$0219100C,0.3171,5.35,MSQ$0319100C,0.1941,8,MSQ$0419100C,0.2093,15.4,MSQ$0519100C,0.4088,21.8,MSQ$0619100C,0.3881,24.42,MSQ$0719100C,0.3867,32.625,MSQ$0819100C,0.3384,38.79,MSQ$0919100C,0.5216,33.91,MSQ$1019100C,0.3988,37.45,MSQ$1119100C,0.6621,42.05,MSQ$1219105C,0.6051,45.075,MSQ$0120110C,0.5655,44.97,MSQ$0220120C,0.5529,43.66,MSQ$0320105C,0.2669,80.325,MSQ$0420115C,0.744,31.3,MSQ$0520120C,0.6514,52.225,MSQ$0620125C,0.6821,58.325,MSQ$0720140C,0.6785,48.57,MSQ$0820140C,,,MSQ$0920140C,0.5477,69.02,MSQ$1020145C,0.4602,64.15,MSQ$1120145C,0.6325,74.9,MSQ$1220140C,0.5849,75.5,MSQ$0121140C,0.7177,72.98,MSQ$0221160C,0.5135,53.97,MSQ$0321155C,0.6732,87.5,MSQ$0421170C,0.5755,64.17,MSQ$0521160C,0.6724,98.55,MSQ$0621170C,0.6088,77.97,MSQ$0721185C,0.5733,73.675,MSQ$0821195C,0.5397,86.15,MSQ$0921200C,0.3114,91.5,MSQ$1021200C,0.5444,104.55,MSQ$1121220C,0.4438,81.61,MSQ$1221220C,0.7099,115.79
TSL$011945C,0.8718,320.575,TSL$021945C,0.9933,299.35,TSL$031940C,1.1692,267.95,TSL$041940C,1.2762,235.55,TSL$051940C,0.9852,226.475,TSL$061930C,0.6269,201.95,TSL$071935C,0.6792,179.9,TSL$081930C,3.279,223.25,TSL$091935C,0.5252,180.55,TSL$101935C,2.3739,210.35,TSL$111950C,0.5637,207.95,TSL$121950C,0.353,302.325,TSL$0120100C,0.8333,263,TSL$0220105C,0.8718,413.175,TSL$0320100C,1.4592,699.2,TSL$0420100C,1.2762,444.725,TSL$0520105C,1.9117,624.7,TSL$0620130C,2.2584,669.5,TSL$0720210C,1.6036,780.95,TSL$0820215C,2.682,1332.65,TSL$0920294C,0.6925,247.75,TSL$1020292C,,,TSL$1120266C,0.9263,184.325,TSL$1220415C,0.5771,27.71,TSL$01211000C,0.9038,6,TSL$02211000C,0.8091,38.15,TSL$0321465C,1.0133,315.1,TSL$0421490C,0.9037,225.65,TSL$0521380C,,,TSL$0621390C,0.8769,203.35,TSL$0721425C,0.7563,185.15,TSL$0821470C,0.7679,182.5,TSL$09211000C,0.4943,0.75,TSL$10211000C,0.4208,0.35,TSL$11211000C,0.3607,2.23,TSL$12211000C,0.6211,85.69
FB$0119100C,0.4963,46.03,FB$0219110C,0.536,38.53,FB$0319110C,0.8622,53.375,FB$0419120C,0.5095,46.7,FB$0519125C,0.5047,55.025,FB$0619120C,0.6527,62.65,FB$0719135C,0.465,46.8,FB$0819120C,0.7924,84.3,FB$0919125C,0.5444,57.975,FB$1019125C,0.4578,62.45,FB$1119130C,0.6898,59.475,FB$1219130C,0.2568,64.73,FB$0120145C,0.6545,51.76,FB$0220140C,0.7071,81.24,FB$0320115C,0.554,99.35,FB$0420120C,0.7582,44.55,FB$0520140C,0.4334,37.275,FB$0620155C,0.5852,56.5,FB$0720160C,0.5203,72.6,FB$0820170C,0.6735,71.275,FB$0920180C,0.5601,81.475,FB$1020175C,0.7595,98.3,FB$1120185C,0.6507,82.4,FB$1220180C,0.5589,94.15,FB$0121165C,0.8802,111.025,FB$0221180C,0.6478,69.65,FB$0321180C,0.6166,93.7,FB$0421205C,0.5271,69.225,FB$0521200C,0.6144,105.3,FB$0621220C,0.6045,93,FB$0721225C,0.6022,111.75,FB$0821240C,0.5119,104.675,FB$0921245C,0.4385,118.225,FB$1021215C,0.7996,159.1,FB$1121230C,0.5589,95.175,FB$1221225C,0.6864,122.9
UVA$011925C,1.8352,121.5,UVA$021940C,1.7191,110,JPM$0319100C,0.2188,4.8,UVA$041955C,1.5362,115.05,JPM$0519100C,0.195,10,JPM$0619100C,0.2756,10.1,UVA$071950C,1.2184,94.775,JPM$0819100C,0.2685,15,UVA$091945C,1.6132,103.9,UVA$101950C,0.6937,131.975,JPM$1119100C,0.4403,20.6,UVA$121970C,0.7803,133.95,UVA$012065C,1.5266,159.175,JPM$0220100C,0.4505,36.975,UVA$032070C,1.0644,219.85,JPM$0420100C,0.5886,6.2,UVA$0520100C,1.2955,180.95,UVA$0620100C,1.0451,218.25,UVA$0720135C,0.7948,231.925,JPM$0820100C,0.3882,5.65,UVA$0920105C,1.204,357.35,JPM$1020100C,0.3555,5.54,JPM$1120100C,0.3213,3.83,UVA$1220105C,1.931,426.9,UVA$0121100C,1.5493,434.4,JPM$0221100C,0.5936,38.8,JPM$0321105C,0.4493,39.37,JPM$0421100C,0.3198,55.325,JPM$0521105C,0.471,47.05,UVA$0621120C,1.0259,449.6,JPM$0721105C,0.6003,50.225,UVA$0821135C,,,UVA$0921150C,0.5268,50.8,UVA$1021144C,,,UVA$1121200C,0.3736,21.55,UVA$1221200C,0.6768,105
JPM$0119100C,0.2945,3.5,JPM$0219100C,0.2167,2.62,JNJ$0319100C,0.575,36.175,JPM$0419100C,0.189,6.25,JNJ$0519100C,0.3494,36.775,JNJ$0619100C,0.5512,37.05,JPM$0719100C,0.2658,10.5,JNJ$0819100C,0.5671,35.2,JPM$0919100C,0.2882,7.75,JPM$1019100C,0.2313,18.95,JNJ$1119100C,0.423,33.05,JPM$1219100C,0.1652,28.83,JPM$0120100C,0.4,36.85,JNJ$0220100C,0.4935,47.225,JPM$0320100C,0.2635,37.325,JNJ$0420100C,0.8704,36.5,JPM$0520100C,0.5416,2.51,JPM$0620100C,0.4197,1.06,JPM$0720100C,0.5244,4.85,JNJ$0820100C,0.6944,48.675,JPM$0920100C,0.34,3.38,JNJ$1020100C,0.5203,48.9,JNJ$1120100C,0.5324,47.275,JPM$1220100C,0.3698,14.85,JPM$0121100C,0.294,19,JNJ$0221110C,0.5552,50.425,JNJ$0321105C,0.7972,60.625,JNJ$0421105C,0.6311,55.525,JNJ$0521115C,0.4963,45.525,JPM$0621105C,0.6732,58.55,JNJ$0721110C,0.7694,54.925,JPM$0821105C,0.3326,50.45,JPM$0921105C,0.6949,55.25,JPM$1021110C,0.8288,48.85,JPM$1121110C,0.6443,56.8,JPM$1221105C,0.7924,61.85
JNJ$0119100C,0.6007,32.07,JNJ$0219100C,0.3916,29.625,HD$0319120C,0.7761,72.66,JNJ$0419100C,0.6644,37.5,HD$0519125C,0.412,80.1,HD$0619135C,0.6306,57.6,JNJ$0719100C,0.4674,39.75,HD$0819135C,0.3326,83.925,JNJ$0919100C,0.5528,30.85,JNJ$1019100C,0.2183,30.625,HD$1119155C,0.5348,80.9,JNJ$1219100C,0.1647,34.725,JNJ$0120100C,0.536,41.675,HD$0220160C,0.3639,64.75,JNJ$0320100C,0.1496,49.95,HD$0420130C,1.1139,78.125,JNJ$0520100C,0.882,45.75,JNJ$0620100C,0.2407,50.4,JNJ$0720100C,0.3707,40.8,HD$0820185C,0.6993,74.275,JNJ$0920100C,0.5588,48.25,HD$1020190C,0.4402,93.01,HD$1120185C,0.6997,103.15,JNJ$1220100C,0.6997,49.95,JNJ$0121105C,0.5757,45.7,HD$0221185C,0.6407,90.975,HD$0321185C,0.759,96.325,HD$0421210C,0.3988,68.5,HD$0521215C,0.5492,107.9,JNJ$0621110C,0.7736,60.375,HD$0721210C,0.5059,96.325,JNJ$0821115C,0.3567,53.375,JNJ$0921110C,0.6564,66.125,JNJ$1021105C,0.7514,60.6,JNJ$1121110C,0.4072,51.05,JNJ$1221115C,0.4675,48.5
HD$0119115C,0.631,57.75,HD$0219130C,0.4385,46.8,WLP$0319165C,0.6569,146.725,HD$0419135C,0.4505,47.65,WLP$0519180C,,,WLP$0619160C,0.5444,99.075,HD$0719145C,0.5661,61.35,WLP$0819185C,0.9397,123.1,HD$0919155C,0.4842,47.15,HD$1019155C,0.2435,79.05,WLP$1119180C,0.6222,69.775,HD$1219140C,0.6202,97.375,HD$0120150C,0.4096,64.35,WLP$0220200C,0.3807,101.8,HD$0320134C,,,WLP$0420185C,0.9935,89.025,HD$0520160C,0.682,42.95,HD$0620160C,0.9139,78.32,HD$0720170C,0.542,71.55,WLP$0820210C,0.5934,59.45,HD$0920190C,0.5138,90.075,WLP$1020220C,0.3915,41.5,WLP$1120235C,,,HD$1220175C,0.8823,103.025,HD$0121180C,0.5998,88.15,WLP$0221220C,0.5762,106.95,WLP$0321235C,,,WLP$0421260C,0.4544,82.8,WLP$0521270C,0.4301,102.75,HD$0621200C,0.6663,123.725,WLP$0721280C,0.5071,105.25,HD$0821220C,0.4541,102.675,HD$0921220C,0.8372,112.65,HD$1021230C,0.7252,104.225,HD$1121245C,0.5577,105.775,HD$1221270C,0.5304,101.3
WLP$0119170C,0.3259,105.675,WLP$0219180C,0.5468,80.85,BAC$031920C,0.6398,9.25,WLP$0419190C,0.3518,113.375,BAC$051919C,0.595,,BAC$061919C,0.5433,9.325,WLP$0719175C,0.7984,111.2,BAC$081918C,0.7177,11.275,WLP$0919155C,0.7587,119.575,WLP$1019175C,0.5829,78.7,BAC$111922C,0.5246,7.8,WLP$1219190C,0.4481,108.15,WLP$0120195C,0.5757,89.7,BAC$022023C,0.5095,11.7,WLP$0320180C,0.3615,117.85,BAC$042015C,1.0337,8.4,WLP$0520190C,0.8778,64.325,WLP$0620190C,0.53,88.25,WLP$0720200C,0.4517,62.6,BAC$082018C,0.4947,6.78,WLP$0920200C,0.4289,83.3,BAC$102016C,0.8882,9.175,BAC$112018C,0.4578,6.175,WLP$1220230C,0.6333,103.6,WLP$0121230C,0.5718,83.8,BAC$022122C,0.6347,11.05,BAC$032125C,0.4819,8.8,BAC$042126C,0.4626,11.7,BAC$052128C,0.4868,10.67,WLP$0621270C,0.3964,123.85,BAC$072126C,0.6756,15.375,WLP$0821270C,0.5348,126.35,WLP$0921280C,0.2897,87.45,WLP$1021280C,0.489,94.85,WLP$1121295C,,,WLP$1221330C,0.4096,104.6
BAC$011918C,0.6682,6.65,BAC$021919C,0.6779,7.67,PCG$031970C,2.2563,0.05,BAC$041920C,0.4206,9.325,PG$0519100C,0.2,5.37,PG$0619100C,0.1945,6.67,BAC$071921C,0.4872,7.125,PG$0819103C,,,BAC$091920C,0.4721,6.3,BAC$101920C,0.5894,10.175,PG$1119104C,,,BAC$121923C,0.6811,10.025,BAC$012023C,0.5829,12,PG$0220100C,0.3918,25.78,BAC$032016C,0.8824,18.85,PG$0420100C,0.6683,14.67,BAC$052014C,1.0653,8.35,BAC$062017C,0.6512,4.625,BAC$072016C,0.8524,9.225,PG$0820100C,0.4445,24.625,BAC$092017C,0.4574,9.45,PG$1020105C,0.5079,33.85,PG$1120105C,0.5375,38.875,BAC$122019C,0.5912,8.025,BAC$012122C,0.5119,6.85,PG$0221100C,0.5364,35.42,PG$0321105C,0.3901,23.65,PG$0421100C,0.3314,27.55,PG$0521115C,0.3019,22.25,BAC$062127C,0.755,15.325,PG$0721100C,0.3525,34.65,BAC$082128C,0.5161,10.95,BAC$092127C,0.715,14.675,BAC$102131C,0.6056,9.325,BAC$112131C,0.671,14.81,BAC$122129C,0.3712,18.025
PCG$011960C,1.1703,0.05,PG$0219100C,0.1899,0.15,V$0319105C,0.4361,39.9,PG$0419100C,0.1515,2.85,V$0519110C,0.3928,50.575,V$0619115C,0.3422,47.775,PG$0719100C,0.2492,11.75,V$0819130C,0.4433,50.875,PG$0919100C,0.3204,17.85,PG$1019100C,0.365,22.88,V$1119120C,0.6095,59.05,PG$1219100C,0.2331,20.7,PG$0120106C,,,V$0220135C,0.5155,65.05,PG$0320100C,0.2682,26.3,V$0420110C,0.8669,66.5,PG$0520105C,0.475,18.35,PG$0620100C,0.3495,13.6,PG$0720108C,,,V$0820130C,0.4325,,PG$0920110C,0.3644,25.3,V$1020130C,0.7747,,V$1120140C,0.6517,58.25,PG$1220100C,0.5276,44.375,PG$0121120C,0.3572,17.3,V$0221140C,0.3963,,V$0321150C,0.3754,57.07,V$0421150C,0.2428,,V$0521150C,0.3367,,PG$0621105C,0.3278,33.05,V$0721165C,0.2911,,PG$0821100C,0.3089,39.075,PG$0921105C,0.6122,38.575,PG$1021105C,0.6988,40.675,PG$1121105C,0.3324,38.95,PG$1221105C,0.4241,42.425
