Date,AAPL,MSFT,AMZN,TSLA,GOOGL,FB,NVDA,JPM,JNJ,HD,UNH,WMT,BAC,PG,V,MA,ADBE,PFE,NFLX,DIS,CSCO,ORCL,CRM,AVGO,KO,CSCO,COST,TMO,ACN,ABT,PEP,CVX,DHR,LLY,PYPL,ABBV,CMCSA,INTC,NKE,VZ,QCOM,WFC,MCD,INTU,MRK,TXN,LIN,MS,AMD,NEE,T,LOW,C,HON,UNP,TMUS,SCHW,MDT,PM,UPS,AMAT,BLK,GS,SBUX,AXP,FDX,BA,BMY,CVS,IBM,SPGI,NOW,AMT,AMGN,ISRG,PLD,MRNA,TGT,CAT,CHTR,GE,GM,DE,LRCX,ZTS,MMM,ADI,ANTM,ADP,COP,F,LMT,MU,SYK,BKNG,EL,GILD,MMC,MDLZ,PNC
13/12/2017,43.0675,85.35,1164.13,67.806,1051.39,178.3,46.545,105.51,142.89,183.03,224.35,97.76,28.84,90.88,113.31,151.69,176.83,34.7328,187.86,107.61,50.05,83.12,103.94,262.03,45.9,38.15,188.28,191.47,151.42,55.06,117.8,119.93,94.15,87.89,74.09,97.35,38.58,43.34,64.3,52.89,64.9,59.4,173.55,156.48,54.2652,98.86,151.27,53.18,10.11,39.1175,38.04,85.6,75.14,149.173,130.31,63.83,50.33,81.92,108.24,118.4,50.76,512.55,255.56,59.49,97.78,242.02,291.8401,63.47,71.62,147.0094,169.01,123.37,143.73,177.38,123.6933,65.76,,62.67,148.57,329,136.5743,41.4,151.95,181.31,72.38,239.11,85.18,232.06,117.02,51.68,12.63,317.79,42.05,153.31,1742.61,127.95,76.58,83.4,42.94,143.83
14/12/2017,43.055,84.69,1174.26,67.578,1057.47,178.39,46.6175,104.66,141.65,182.13,221.25,97.13,28.73,91,112.92,151.93,175,34.5622,189.56,110.57,50.19,82.9,104.24,259.3401,46.03,37.9,186.53,188.32,151.21,54.73,118.02,119.53,92.85,86.5,74.26,96.3,39.12,43.26,64.53,52.34,64.7,59.22,173.14,156.19,53.407,100.25,149.14,52.64,10.13,39.495,37.74,85.58,73.92,146.7124,129.17,62.56,50.2,81.83,107.68,116.84,51.31,506.75,255.48,59.7,97.15,238.5,293.8799,62.13,70.8,147.0953,167.59,126.17,143.64,174.92,120.1866,65.91,,61.94,146.28,328.6799,135.6516,40.81,149.44,182.1,71.76,238.08,85.44,227.12,116.46,52.31,12.46,317.01,42.24,151.34,1760.92,127.81,74.34,83.02,42.77,142.97
15/12/2017,43.4925,86.85,1179.14,68.69,1072,180.18,47.89,106.14,142.46,182.58,221.82,97.11,29.04,91.89,113.82,153.4,177.51,35.2637,190.12,111.27,48.3,83.03,105.48,265.73,46.19,38.19,192.73,192.27,152.66,55.5,119.22,119.73,94,86.54,75.65,97.45,39.71,44.56,64.79,52.67,64.76,59.87,174.06,159.65,53.6263,101.22,149.6,53.1,10.29,39.6075,38.24,86.69,74.77,147.689,130.6,62.66,51.28,83.5,109.68,118,52.54,511.8701,257.1699,58.29,98.52,240.05,293.9399,62.41,73.08,145.6626,169.05,129.5,142.76,177.04,123.29,65.98,,62.61,146.69,322.3101,137.0358,40.95,150.87,186.32,71.96,238,86.69,226.21,118.19,52.17,12.58,322.8201,42.4,154.25,1760,129.62,75.57,83.11,43.38,144.95
18/12/2017,44.105,86.38,1190.58,67.774,1085.09,180.82,49.475,106.96,141.8,184.73,222.67,97.9,29.48,91.88,113.55,153.12,176.74,35.1974,190.42,111.03,47.71,82.94,105.08,264.3899,45.93,38.48,192.31,193.57,151.72,56.4,118.05,119.7,94.36,86.08,75.32,98.19,39.54,46.26,64.81,53.25,65.38,60.92,174.2,161.13,53.6072,103.27,153.33,53.24,10.98,39.0875,38.46,87.44,75.67,148.0145,132.47,63.47,51.74,83.43,107.97,118.81,53.4,518.8601,260.02,58.03,99.68,241.91,296.1399,62.4,71.67,146.4554,170.91,130.69,142.84,176.14,123.9666,65.86,,64.08,149.77,323.23,136.5743,42.15,154.04,189.07,72.63,238.42,88.09,227.02,118.64,52.34,12.66,322.76,43.71,155.49,1781.35,129.39,75.13,82.5,43.11,146.15
19/12/2017,43.635,85.83,1187.38,66.22,1079.78,179.51,49.0275,106.51,141.78,185.98,222.04,98.8,29.45,91.68,112.14,151.68,174.97,35.0172,187.02,111.81,47.82,82.44,104.26,263.7,46.13,38.3,188.33,193.89,152.22,56.8,118.61,119.84,94.38,86.71,74.5,97.92,39.14,47.04,64.24,52.83,64.5,60.36,173.39,159.88,53.6167,104.1,154.17,52.93,10.95,38.525,38.05,88.86,74.7,147.5549,133.24,63.64,51.81,82.04,108.12,119,52.96,515.8201,256.48,58.01,99.15,242.54,297.25,61.56,72.31,146.3598,172,129.96,141.86,176.87,122.45,63.38,,64.06,150.91,316.97,135.267,42.49,154.48,186.11,72.8,238.39,87.95,227.99,118.34,52.68,12.69,319.97,43.98,155.26,1780.62,127.84,74.35,82.52,43.25,145.1
20/12/2017,43.5875,85.52,1177.62,65.796,1073.56,177.89,49.2,106.14,141.16,187.31,222.38,98.75,29.48,91.53,112.12,151.45,174.25,34.5622,188.82,109.69,47.9,82.87,103.39,265.6399,46.08,38.74,187.51,192.29,151.75,57.02,119.02,120.89,94.62,85.74,74,97.41,39.38,47.56,63.59,52.77,64.6,60.14,172.17,159.35,53.5023,104.8,154.01,52.51,10.98,38.41,38.55,90.19,74.66,148.1486,134.68,62.9,51.81,81.38,104.37,118.33,53.29,514.55,255.18,57.73,98.51,251.07,297.8999,61.2,73.56,146.0924,170.01,129,140.19,177.11,122.4033,63.05,,64.48,152.52,316.3799,134.1904,42.52,154.37,188.83,72.71,236.92,88.65,227.92,117.86,54.25,12.72,317.72,45.75,154.78,1774,127.69,74.01,82.12,42.95,144.92
21/12/2017,43.7525,85.5,1174.76,66.332,1070.85,177.45,48.9725,107.83,141.06,188.08,221.69,98.06,29.82,91.67,112.41,150.53,174.56,34.3537,188.62,109.57,47.28,83.85,103.62,261.53,45.6,38.53,186.8,191.13,154.2,56.93,118.26,124.82,93.82,85.61,74.02,97.91,40.81,46.76,64.77,53.01,64.39,61.61,171.85,158.62,53.9696,104.07,154.1,52.88,10.89,38.62,38.88,90.73,75.82,147.1815,133.73,63.52,52.28,81.48,104.78,118.58,51.89,513.5901,261.01,57.58,98.5,250.17,295.03,61.5,74.64,144.7074,168.78,128.97,139.61,176.68,120.4433,63.01,,65.22,154.64,332.9399,134.3443,42.16,155.86,185.64,72.28,234.78,88.65,225.08,117.4,55.95,12.63,317.1899,44.42,154.1,1778.79,127.58,73.02,80.71,43.1,146.26
22/12/2017,43.7525,85.51,1168.36,65.04,1068.86,177.2,48.8175,107.45,140.12,188.13,220,98.21,29.88,92.13,112.69,150.85,175,34.2589,189.94,108.67,47.36,83.97,102.63,262.3501,45.59,38.55,186.63,190.42,153.89,56.93,118.6,124.98,93.46,85.07,73.89,98.21,40.78,46.7,63.29,53.19,64.73,61.55,171.42,158.5,53.7407,104.13,153.84,52.72,10.54,38.635,38.94,91.19,75.49,146.9613,134.47,63.62,52.08,81.54,104.65,118.64,52.06,512.1201,258.97,57.3,98.74,250.02,295.1001,60.96,73.41,145.6626,167.83,129.19,140.66,176.42,121.0532,63.83,,65.39,155.75,338.2,134.575,42.02,157.53,186.69,71.99,234.73,88.85,225.6,116.88,55.5,12.58,318.03,44.12,154.14,1775.26,127.75,72.71,80.69,43.36,146.12
25/12/2017,43.7525,85.51,1168.36,65.04,1068.86,177.2,48.8175,107.45,140.12,188.13,220,98.21,29.88,92.13,112.69,150.85,175,34.2589,189.94,108.67,47.36,83.97,102.63,262.3501,45.59,38.55,186.63,190.42,153.89,56.93,118.6,124.98,93.46,85.07,73.89,98.21,40.78,46.7,63.29,53.19,64.73,61.55,171.42,158.5,53.7407,104.13,153.84,52.72,10.54,38.635,38.94,91.19,75.49,146.9613,134.47,63.62,52.08,81.54,104.65,118.64,52.06,512.1201,258.97,57.3,98.74,250.02,295.1001,60.96,73.41,145.6626,167.83,129.19,140.66,176.42,121.0532,63.83,,65.39,155.75,338.2,134.575,42.02,157.53,186.69,71.99,234.73,88.85,225.6,116.88,55.5,12.58,318.03,44.12,154.14,1775.26,127.75,72.71,80.69,43.36,146.12
26/12/2017,42.6425,85.4,1176.76,63.458,1065.85,175.99,49.36,107.02,140.09,190.36,219.6,99.16,29.78,92.48,112.99,151.28,174.44,34.3252,187.76,108.12,47.43,83.98,102.54,258.1001,45.81,38.48,186.55,190.34,152.99,57,118.89,125.98,93.32,84.99,74.27,97.75,40.82,46.08,63.65,53.22,64.3,61.13,171.29,158.93,53.7216,104.15,152.61,52.47,10.46,38.5,39.06,91.89,74.78,147.2198,134.65,63.79,51.87,81.47,104.11,118.26,51.05,513.72,257.72,57.14,98.57,249.64,295.3601,61.26,73.68,145.9778,167.42,129.32,140.91,176.09,121.9433,63.82,,65.82,156.44,340.3999,134.0366,41.8,158.75,184.31,72.34,235.45,88.63,225.43,117.57,56.23,12.6,318.51,42.25,154.21,1755.32,128.85,72.7,80.74,43.42,144.9
